"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
928,WO,182-996-321-158-38X,2019-07-04,JP 2018035741 W,2018-09-26,"MELT-BLOWN NONWOVEN FABRIC, FILTER, AND METHOD FOR MANUFACTURING MELT-BLOWN NONWOVEN FABRIC",MITSUI CHEMICALS INC,,13,1,B01D39/163;;B01D2239/0216;;B01D2239/0622;;B01D2239/0627;;B01D2239/10;;B01D2239/1216;;B01D2239/1233;;B01D2239/1291;;D01D5/0985;;D01F6/06;;D01F6/46;;D04H1/54;;D04H1/56;;D04H3/007;;D04H3/16;;D04H3/007;;B01D39/1623;;D01D5/088;;D01F6/06;;D04H3/16;;B01D39/16;;D01D5/084;;D01F6/06;;D04H3/007;;D04H3/016;;D04H3/16;;Y10T442/68,D04H3/007;;B01D39/16;;D01D5/08;;D01F6/06;;D04H3/16,
929,US,002-722-201-242-303,2011-06-07,US 79152605 A,2005-11-25,Medical tubes,MITSUI CHEMICALS INC;;OTSUKA PHARMA CO LTD,MITSUI CHEMICALS INC (2007-03-06);;OTSUKA PHARAMCEUTICAL FACTORY INC (2007-03-06),27,0,A61M39/08;;A61L29/041;;A61M25/0009;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/142;;Y10T428/13;;Y10T428/1397;;A61L29/041;;A61M1/14;;A61M5/14;;A61M25/0009;;A61M39/08;;C08L23/12;;C08L23/142;;A61M39/08;;A61L29/041;;A61M25/0009;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/142;;Y10T428/13;;Y10T428/1397,C08L23/10;;C08L23/02,428/36.92;;428/34.1;;525/240;;525/191;;526/351
930,EP,196-230-770-744-252,2002-04-17,EP 01946873 A,2001-01-26,OLEFIN TRIBLOCK COPOLYMERS AND PRODUCTION PROCESSES THEREOF,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2004-12-01)",0,25,C08F297/086;;C08F4/659;;C08F10/00;;C08F110/02;;C08F210/16;;C08F297/08;;C08F297/083;;C08L53/00;;C08F297/086;;C08F297/086;;C08F4/659;;C08F10/00;;C08F110/02;;C08F210/16;;C08F297/08;;C08F297/083;;C08L53/00,C08F4/60;;C08F4/659;;C08F10/00;;C08F110/02;;C08F210/16;;C08F297/08;;C08L53/00,
931,US,070-691-665-134-703,2003-11-06,US 45451203 A,2003-06-05,Crosslinked olefin elastomer foam,MITSUI CHEMICALS INC,,8,7,C08J9/0061;;C08J9/0023;;C08J9/08;;C08J2323/02;;C08J2323/06;;C08J2323/16;;C08J2423/00;;C08L23/0815;;C08L23/10;;C08L2203/14;;C08L2205/02;;C08L2312/00;;C08J9/00;;C08J9/0061;;C08J9/0023;;C08J9/08;;C08J2323/02;;C08J2323/06;;C08J2323/16;;C08J2423/00;;C08L23/0815;;C08L23/10;;C08L2203/14;;C08L2205/02;;C08L2312/00,C08J9/00;;C08J9/08;;C08L23/08;;C08L23/10,521 5
932,US,112-771-607-040-815,2014-03-27,US 201214116100 A,2012-05-17,"PROPYLENE-BASED COPOLYMER, PROPYLENE-BASED COPOLYMER COMPOSITION, MOLDED PRODUCT THEREOF AND FOAMED PRODUCT THEREOF, AND PRODUCTION PROCESS THEREFOR",OKAMOTO MASAHIKO;;YASUDA MAYUMI;;KASAI TETSUJI;;KANEKO KAZUYOSHI;;KOBAYASHI KYOKO;;ICHINO KOTARO;;MITSUI CHEMICALS INC,MITSUI CHEMICALS INC (2013-09-09),2,20,C08F210/06;;B29B7/007;;B29B7/42;;B29B7/48;;B29B7/726;;B29B7/7495;;B29B7/823;;B29B7/90;;C08F210/16;;C08J9/06;;C08J9/122;;C08J2201/026;;C08J2201/03;;C08J2201/032;;C08J2203/06;;C08J2203/08;;C08J2205/044;;C08J2205/046;;C08J2323/14;;C08J2323/16;;C08L23/142;;C08L23/145;;C08L2203/14;;C08L2205/03;;C08F32/04;;C08F210/06;;C08F210/16;;C08F210/18;;C08F2500/12;;C08F2500/17;;C08F2500/25;;C08J9/06;;C08J9/122;;C08J2201/026;;C08J2201/03;;C08J2201/032;;C08J2203/06;;C08J2203/08;;C08J2205/044;;C08J2205/046;;C08J2323/14;;C08J2323/16;;C08L23/08;;C08L23/14;;C08L23/142;;C08L23/145;;C08L23/26;;C08L2203/14;;C08L2205/03,C08F32/04;;C08L23/08;;C08L23/14;;C08L23/26,521/140;;521/150;;525/232;;526/336
933,EP,168-319-884-035-986,2014-03-26,EP 12785020 A,2012-05-17,"PROPYLENE COPOLYMER AND PROPYLENE COPOLYMER COMPOSITION, MOLDING AND FOAM THEREOF, AND PROCESSES FOR PRODUCING SAID MOLDING AND FOAM",MITSUI CHEMICALS INC,,0,6,C08F210/06;;B29B7/007;;B29B7/42;;B29B7/48;;B29B7/726;;B29B7/7495;;B29B7/823;;B29B7/90;;C08F210/16;;C08J9/06;;C08J9/122;;C08J2201/026;;C08J2201/03;;C08J2201/032;;C08J2203/06;;C08J2203/08;;C08J2205/044;;C08J2205/046;;C08J2323/14;;C08J2323/16;;C08L23/142;;C08L23/145;;C08L2203/14;;C08L2205/03;;C08F32/04;;C08F210/06;;C08F210/16;;C08F210/18;;C08F2500/12;;C08F2500/17;;C08F2500/25;;C08J9/06;;C08J9/122;;C08J2201/026;;C08J2201/03;;C08J2201/032;;C08J2203/06;;C08J2203/08;;C08J2205/044;;C08J2205/046;;C08J2323/14;;C08J2323/16;;C08L23/08;;C08L23/14;;C08L23/142;;C08L23/145;;C08L23/26;;C08L2203/14;;C08L2205/03,C08F210/06;;C08F210/18;;C08J9/04;;C08L23/02;;C08L23/10,
934,EP,000-404-242-059-445,2008-02-13,EP 93304586 A,1993-06-14,Ethylene copolymer composition,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (2005-02-01)",3,0,C08L23/0815;;C08L23/06;;C08L2314/06;;Y10S526/943;;Y10T428/1397;;C08L23/08;;C08L23/0815;;C08L23/06;;C08L2314/06;;Y10S526/943;;Y10T428/1397,C08L23/08;;C08L23/00;;C08L23/06,
935,US,127-671-465-944-654,2003-11-06,US 45461403 A,2003-06-05,Elastomer composition for cross-linked olefin elastomer foam,MITSUI CHEMICALS INC,,9,9,C08J9/0061;;C08J9/0023;;C08J9/08;;C08J2323/02;;C08J2323/06;;C08J2323/16;;C08J2423/00;;C08L23/0815;;C08L23/10;;C08L2203/14;;C08L2205/02;;C08L2312/00;;C08J9/00;;C08J9/0061;;C08J9/0023;;C08J9/08;;C08J2323/02;;C08J2323/06;;C08J2323/16;;C08J2423/00;;C08L23/0815;;C08L23/10;;C08L2203/14;;C08L2205/02;;C08L2312/00,C08J9/00;;C08J9/08;;C08L23/08;;C08L23/10,521/96
936,EP,173-891-130-964-47X,2002-10-09,EP 97112767 A,1997-07-24,Method for controlling traveling using a luminescent compound,MITSUI CHEMICALS INC,"MITSUI CHEMICALS, INC. (1998-05-27)",7,0,C09K11/06;;C09K11/06;;C09K11/06,C09K11/06,
937,EP,023-835-325-587-875,2011-12-28,EP 05809722 A,2005-11-25,MEDICAL TUBE,MITSUI CHEMICALS INC;;OTSUKA PHARMA CO LTD,,12,0,A61M39/08;;A61L29/041;;A61M25/0009;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/142;;Y10T428/13;;Y10T428/1397;;A61L29/041;;A61M1/14;;A61M5/14;;A61M25/0009;;A61M39/08;;C08L23/12;;C08L23/142;;A61M39/08;;A61L29/041;;A61M25/0009;;C08L23/10;;C08L23/12;;C08L23/14;;C08L23/142;;Y10T428/13;;Y10T428/1397,A61L29/04;;A61M1/14;;A61M5/14;;A61M25/00;;C08L23/12;;C08L23/16,
