"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
4821,WO,036-921-960-042-658,2023-03-09,EP 2022074309 W,2022-09-01,POLYETHYLENE BASED SEALANT FILM WITH HIGH PACKAGING PERFORMANCE,BOREALIS AG;;ABU DHABI POLYMERS CO LTD BOROUGE LLC,,8,0,B32B27/08;;B32B27/18;;B32B27/32;;B32B2250/02;;B32B2250/03;;B32B2250/242;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/516;;B32B2307/54;;B32B2307/558;;B32B2307/72;;B32B2307/732;;B32B2307/746;;B32B2439/06;;C08L23/06;;C08L23/0815;;C08L2205/025,B32B27/08;;B32B27/18;;B32B27/32;;C08J5/18;;C08L23/06;;C08L23/08,
4822,EP,084-335-410-903-491,2015-04-29,EP 13190138 A,2013-10-24,Blow molded article based on bimodal random copolymer,BOREALIS AG,,8,4,C08L23/14;;C08L2205/02;;C08L23/14;;C08F210/06;;C08F2500/12;;C08J5/00;;C08L2203/10;;C08L2205/02;;C08L23/142;;B65D1/0207;;C08L23/14;;C08L2203/10;;C08L2205/02;;C08L2205/025,C08L23/14,
4823,US,040-569-683-516-038,2018-12-27,US 201616061920 A,2016-12-13,POLYETHYLENE BASED LAMINATED FILM STRUCTURE WITH BARRIER PROPERTIES,BOREALIS AG,BOREALIS AG (2018-07-31),4,16,B32B27/08;;B32B27/16;;B32B27/32;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2255/205;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/50;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/46;;B32B2439/70;;B32B27/32;;B32B27/08;;B32B27/16;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/70;;B32B27/08;;B32B27/16;;B32B27/32;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2255/205;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/50;;B32B2307/514;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/46;;B32B2439/70,B32B27/08;;B32B27/32,
4824,US,052-244-091-356-261,2022-06-09,US 201917413765 A,2019-11-28,WASHING PROCESS,BOREALIS AG,BOREALIS AG (2022-03-15),0,2,C08F4/00;;B01D21/267;;B01J8/0055;;B01J19/1856;;B01J19/1862;;B01J2208/00787;;B01J2208/00867;;B01J2219/00051;;B01J2219/00189;;B01D21/267;;C08F4/643;;C08F10/00,C08F4/643;;B01D21/26;;C08F10/00,
4825,EP,130-552-027-575-349,2020-08-19,EP 16809409 A,2016-12-13,POLYETHYLENE BASED LAMINATED FILM STRUCTURE WITH BARRIER PROPERTIES,BOREALIS AG,BOREALIS AG (2022-03-09),19,3,B32B27/08;;B32B27/16;;B32B27/32;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2255/205;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/50;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/46;;B32B2439/70;;B32B27/32;;B32B27/08;;B32B27/16;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/70;;B32B27/08;;B32B27/16;;B32B27/32;;B32B2250/242;;B32B2255/10;;B32B2255/20;;B32B2255/205;;B32B2270/00;;B32B2307/30;;B32B2307/31;;B32B2307/406;;B32B2307/412;;B32B2307/50;;B32B2307/514;;B32B2307/516;;B32B2307/72;;B32B2307/7244;;B32B2307/7246;;B32B2439/46;;B32B2439/70,B32B27/08;;B32B27/16;;B32B27/32,
4826,EP,129-562-488-031-778,2016-04-20,EP 13190138 A,2013-10-24,Blow molded article based on bimodal random copolymer,BOREALIS AG,,1,0,C08L23/14;;C08L2205/02;;C08L23/14;;C08F210/06;;C08F2500/12;;C08J5/00;;C08L2203/10;;C08L2205/02;;C08L23/142;;B65D1/0207;;C08L23/14;;C08L2203/10;;C08L2205/02;;C08L2205/025,C08L23/14,
4827,US,066-658-935-520-892,2023-10-05,US 202118022851 A,2021-09-27,PLANT AND METHOD FOR THE PRODUCTION OF AN IN-LINE BLENDED POLYMER,BOREALIS AG,BOREALIS AG (2023-02-20),0,0,C08F210/16;;C08L23/0815;;C08L2205/025;;C08L2205/06;;C08L2207/064;;C08F2/01;;B01J19/1856;;B01J19/2445;;B01J3/04;;B01J2219/00038;;B01J19/1856;;B01J19/2445;;B01J3/04;;C08F2/01;;C08F210/16;;C08L23/0815;;B01J2219/00038;;C08L2205/025;;B01J19/06;;B01J19/2445;;C08F210/02;;C08L23/0815;;C08L2205/025;;C08L2314/06,C08L23/08;;B01J19/06;;B01J19/24;;C08F210/02,
4828,US,114-879-481-226-901,2016-08-18,US 201415029493 A,2014-10-23,BLOW MOLDED ARTICLE BASED ON BIMODAL RANDOM COPOLYMER,BOREALIS AG,BOREALIS AG (2016-04-07),2,31,C08L23/14;;C08L2205/02;;C08L23/14;;C08F210/06;;C08F2500/12;;C08J5/00;;C08L2203/10;;C08L2205/02;;C08L23/142;;B65D1/0207;;C08L23/14;;C08L2203/10;;C08L2205/02;;C08L2205/025,C08L23/14;;B65D1/02,
4829,US,035-804-029-441-541,2015-11-24,US 201214002426 A,2012-03-02,High throughput reactor assembly for polymerization of olefins,WEICKERT GÜNTER;;ERIKSSON ERIK;;BERGSTRA MICHIEL;;NYFORS KLAUS;;BOREALIS AG,BOREALIS AG (2013-08-05),88,0,B01J8/1872;;B01J8/1827;;B01J8/388;;B01J19/2465;;B01J2208/00274;;B01J2219/0004;;B01J2219/00254;;B01J2219/1947;;C08F110/06;;C08F210/16;;B01J8/24;;B01J8/18;;B01J8/38;;B01J19/24;;B01J8/1872;;B01J8/1827;;B01J8/388;;B01J19/2465;;B01J2208/00274;;B01J2219/0004;;B01J2219/00254;;B01J2219/1947;;C08F110/06;;C08F210/16,C08F2/01;;B01J8/18;;B01J8/24;;B01J8/38;;B01J19/24;;C08F2/34;;C08F10/02;;C08F110/06;;C08F210/08;;C08F210/16,
4830,US,190-586-874-485-514,2022-03-24,US 201917424992 A,2019-01-27,PROCESS FOR PRODUCING A POLYMER COMPOSITION,BOREALIS AG,BOREALIS AG (2021-08-05),1,0,B29C48/022;;B29C48/405;;B29C48/802;;B29C48/875;;B29C48/92;;B29C2948/92704;;B29C2948/92895;;B29K2021/00;;B29K2023/04;;B29K2023/16;;B29K2105/0005;;B29K2105/0088;;B29K2105/0097;;C09J151/003;;C09J151/06;;C08F255/02;;C08F210/16;;C08F255/02;;C08F210/16;;C08F4/32;;C09J151/06;;B29C48/022;;B29C48/405;;B29C48/802;;B29C48/875;;B29C48/92;;B29C48/285;;B29C48/682;;C08F2500/12;;C08F2500/18;;B29C2948/92704;;B29C2948/92895;;B29K2021/00;;B29K2023/04;;B29K2023/16;;B29K2105/0005;;B29K2105/0088;;B29K2105/0097;;B29C48/40;;B29K2096/02;;C08F255/02;;C08K5/09;;C08K5/14;;C08L23/06;;C08L23/0815;;C09J123/06;;C09J123/16,C08F255/02;;B29C48/40;;C08K5/09;;C08K5/14;;C09J123/06;;C09J123/16,
4831,US,130-332-030-769-764,2025-01-21,US 202017424943 A,2020-01-27,Polymer composition,BOREALIS AG,BOREALIS AG (2021-06-14),42,0,B29C48/405;;B29C48/875;;C08L51/003;;C08L51/06;;C09J151/003;;C09J151/06;;B29C48/92;;B29C2948/92704;;B29C48/83;;B29C48/872;;B29C48/21;;B29C48/022;;C08F255/02;;C08F210/16;;C08L51/06;;C08L23/00;;C09J151/003;;C09J151/06;;B29C48/022;;B29C48/0021;;B29C48/405;;B29C48/83;;B29C48/872;;B29C48/875;;B29C48/92;;B29C48/18;;C08F2500/18;;C09J2301/162;;C08F222/06;;C08L23/0815;;C08L23/0853;;C08L23/0869;;C08L51/06;;C08L2203/18;;C09J151/06;;C09J2423/046;;C09J2451/00;;C09J2463/006,C08L51/06;;C08F222/06;;C08L23/08;;C09J151/06,
