"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1,EP,070-058-480-221-161,2017-11-08,EP 11003572 A,2011-05-02,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,6,0,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
2,EP,025-164-011-577-883,2012-11-07,EP 11003572 A,2011-05-02,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,19,17,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
3,AU,180-385-630-881-680,2013-10-31,AU 2012/251871 A,2012-04-26,Polypropylene for foam and polypropylene foam,BOREALIS AG,,0,0,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
4,KR,172-982-543-881-629,2016-09-12,KR 20167024419 A,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,4,0,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F4/34;;C08F4/659;;C08F110/06;;C08L23/12,
5,WO,030-235-850-084-349,2012-11-08,EP 2012001806 W,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG;;TRAN ANH TUAN;;KLIMKE KATJA;;BRAUN HERMANN;;FILIPE SUSANA,,6,8,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
6,AU,124-141-503-697-133,2014-12-04,AU 2012/251871 A,2012-04-26,Polypropylene for foam and polypropylene foam,BOREALIS AG,,2,0,C08F4/65912;;C08F110/06;;C08F210/06;;C08L2314/06;;C08L23/12;;C08L2203/14;;C08F255/02;;C08F4/34;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F10/06;;C08F110/06;;C08L23/12;;C08F4/65912;;C08F110/06;;C08F210/06;;C08L2314/06;;C08L23/12;;C08L2203/14;;C08F255/02;;C08F4/34;;C08F10/06,B32B5/18;;C08F10/06;;C08F255/02,
7,KR,167-934-143-236-893,2014-01-22,KR 20137029370 A,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,BOREALIS AG,,0,1,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;B32B5/18;;C08F255/02,
8,US,191-253-030-733-283,2014-06-12,US 201214112364 A,2012-04-26,POLYPROPYLENE FOR FOAM AND POLYPROPYLENE FOAM,TRAN ANH TUAN;;KLIMKE KATJA;;BRAUN HERMANN;;FILIPE SUSANA;;BOREALIS AG,BOREALIS AG (2013-11-21),0,6,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F4/34,521/143;;526/230.5
9,US,020-096-969-430-974,2015-12-01,US 201214112364 A,2012-04-26,Polypropylene for foam and polypropylene foam,TRAN ANH TUAN;;KLIMKE KATJA;;BRAUN HERMANN;;FILIPE SUSANA;;BOREALIS AG,BOREALIS AG (2013-11-21),15,10,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F4/34;;C08F4/659;;C08F110/06;;C08F210/06;;C08L23/12,
10,CN,169-930-651-884-939,2014-01-29,CN 201280021322 A,2012-04-26,Polypropylene for foam and polypropylene foam,BOREALIS AG,,5,10,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,B32B5/18;;C08F10/06;;C08F255/02,
11,RU,176-039-348-321-333,2017-07-03,RU 2013147938 A,2012-04-26,POLYPROPYLENE FOR FOAMED PLASTIC AND FOAMED POLYPROPYLENE,BOREALIS AG,,7,1,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F8/00;;C08J9/14;;C08K5/14;;C08L23/10,
12,RU,141-356-369-039-571,2015-07-20,RU 2013147938 A,2012-04-26,POLYPROPYLENE FOR FOAMED PLASTIC AND FOAMED POLYPROPYLENE,BOREALIS AG,,0,2,C08F10/06;;C08L23/12;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L2203/14;;C08L2314/06;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08L23/12;;C08F10/06;;C08F4/34;;C08F4/65912;;C08F110/06;;C08F210/06;;C08F255/02;;C08L23/12;;C08L2203/14;;C08L2314/06,C08F10/06;;C08F8/00;;C08J9/14;;C08K5/14;;C08L23/10,
13,CN,025-017-840-013-727,2020-11-20,CN 201980024780 A,2019-04-09,POLYPROPYLENE COMPOSITION,BOREALIS AG,,3,0,C08F8/50;;C08F2810/10;;C08K5/098;;C08K5/1345;;C08K5/14;;C08K5/526;;C08F210/06;;B32B27/08;;B32B2323/10;;C08F4/6465;;C08F4/6492;;C08F8/50;;C08F210/08;;C08F210/16;;C08F2500/26;;C08F2810/10;;C08J5/18;;C08J2323/14;;C08L23/14;;C08F210/02;;C08F210/06;;C08F210/08;;C08J5/18;;C08L23/14;;C08L23/14;;C08F210/02;;C08F210/06;;C08F210/08;;C08L2201/10;;C08L2203/02;;C08L2203/162;;C08L2314/02,C08F210/06;;C08F210/02;;C08F210/08,
14,WO,025-095-755-800-842,2019-03-21,EP 2018073308 W,2018-08-30,POLYPROPYLENE COMPOSITION,BOREALIS AG,,36,9,C08L23/12;;C08L2203/16;;C08L2205/24;;C08L2207/02;;C08L2314/02;;C08L2314/06;;C08F210/06;;C08L23/12;;C08L23/16;;C08L23/14;;C08J5/18;;C08L2203/16;;C08L2207/02;;C08L2314/06;;C08F210/16;;C08L23/12;;C08L23/12;;C08L2205/025;;C08L2205/035;;C08L2207/02;;C08L2314/02;;C08L2314/06,C08L23/12,
15,US,034-096-786-402-901,2020-12-17,US 201816633699 A,2018-08-14,POLYPROPYLENE COMPOSITION,BOREALIS AG,BOREALIS AG (2020-01-21),0,17,C08L23/16;;C08F210/06;;C08L2205/02;;C08L23/16;;B32B27/32;;C08F4/6492;;C08F210/06;;C08F210/08;;C08F210/16;;C08F2500/08;;C08F2500/12;;C08F2500/26;;C08J5/18;;C08L23/0815;;C08L2203/16;;C08L2205/02;;C08L2314/02;;B65D65/40;;C08J5/18;;C08L23/12;;C08L23/14;;C08L23/16;;C08L23/16;;C08F210/06,C08L23/16;;C08F210/06,
16,CN,092-005-447-027-155,2020-07-17,CN 201880078213 A,2018-12-18,POLYPROPYLENE COMPOSITION,BOREALIS AG,,3,6,C08L23/12;;C08F4/65912;;C08L2203/16;;C08L2205/035;;C08L2207/02;;C08L2314/06;;C08L23/12;;C08F2/001;;C08F4/6492;;C08F4/65912;;C08F4/65925;;C08F4/65927;;C08F210/06;;C08F210/08;;C08F210/16;;C08F2500/05;;C08F2500/12;;C08F2500/17;;C08J5/18;;C08J2323/12;;C08L23/0815;;C08L23/14;;C08L23/16;;C08L2203/16;;C08L2205/035;;C08L2207/02;;C08L2207/066;;C08L2314/06;;C08F4/64148;;C08F4/65904;;C08F4/65925;;C08F10/02;;C08F210/12;;C08F210/16;;C08L23/0815;;C08L23/12;;C08F4/6592;;C08L23/06;;C08L23/16;;C08L2207/066,C08L23/12;;C08F210/06;;C08L23/08;;C08L23/14,
17,EP,091-051-688-376-904,2019-09-18,EP 17801628 A,2017-11-07,POLYPROPYLENE COMPOSITION,BOREALIS AG,BOREALIS AG (2022-03-09),0,0,C08K5/3435;;B32B5/16;;B32B5/30;;B32B27/06;;B32B27/08;;B32B27/18;;B32B27/20;;B32B27/32;;B32B2262/101;;B32B2264/10;;B32B2307/3065;;B32B2307/4026;;B32B2307/54;;B32B2307/71;;B32B2307/732;;B32B2439/00;;B32B2439/60;;B32B2457/00;;B32B2605/00;;C08K5/32;;C08K5/34926;;C08L2207/02;;C08L23/14;;B32B27/18;;C08K3/013;;C08K5/32;;C08K5/3435;;C08K5/34926;;C08L23/16;;C08L2203/16;;C08L2207/02,C08K5/32;;C08K5/3435;;C08K5/3492,
18,KR,102-597-050-813-775,2016-09-21,KR 20167024399 A,2015-02-06,POLYPROPYLENE COMPOSITE,BOREALIS AG,,0,0,C08L23/14;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K7/14;;C08L23/0846;;C08L51/06;;C08J5/043;;C08F4/65925;;C08F210/06;;C08F2500/12;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K5/09;;C08K7/14;;C08L23/14;;C08L2314/06;;C08J5/043;;C08J3/203;;C08J2323/12;;C08J2323/14;;C08J2423/14;;C08J2423/26;;C08K7/14;;C08L23/14;;C08L51/06,C08J5/04;;C08F4/6592;;C08F210/06;;C08J3/20;;C08K5/09;;C08K7/14;;C08L23/14,
19,MX,154-871-029-677-022,2018-03-07,MX 2017013539 A,2016-04-25,POLYPROPYLENE COMPOSITE.,BOREALIS AG,,0,0,C08L23/12;;C08L23/142;;C08L2205/16;;C08L23/12;;C08F10/06;;C08F2500/12;;C08F2500/15;;C08J5/046;;C08K7/02;;C08K2201/003;;C08K2201/004;;C08L23/142;;C08L23/16;;C08L29/04;;C08J5/046;;C08J2323/12;;C08J2423/26;;C08J2429/04;;C08L23/12;;C08L23/142;;C08L2205/02;;C08L2205/03;;C08L2205/16,C08L23/12;;C08L23/14,
20,ZA,166-363-864-706-397,2017-08-30,ZA 201604861 A,2016-07-14,POLYPROPYLENE COMPOSITE,BOREALIS AG,,0,0,C08L23/14;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K7/14;;C08L23/0846;;C08L51/06;;C08J5/043;;C08F4/65925;;C08F210/06;;C08F2500/12;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K5/09;;C08K7/14;;C08L23/14;;C08L2314/06;;C08J5/043;;C08J3/203;;C08J2323/12;;C08J2323/14;;C08J2423/14;;C08J2423/26;;C08K7/14;;C08L23/14;;C08L51/06,,
21,WO,181-508-657-342-912,2014-03-06,EP 2013067336 W,2013-08-20,POLYPROPYLENE COMPOSITE,BOREALIS AG,,24,27,C08K7/14;;C08L23/142;;C08L2205/16;;C08L23/0869;;C08L51/06;;C08K7/04;;C08L23/14;;C08L23/142;;C08L2205/16;;C08K7/14;;C08L23/142;;C08L2205/16;;C08L51/06;;C08L23/0869;;C08L23/14,C08L23/14,
22,TW,188-818-368-692-228,2019-03-01,TW 107124214 A,2018-07-13,Polypropylene composition,BOREALIS AG,,0,0,C08L23/14;;C08F4/65912;;C08L23/14;;C08F210/06;;C08F210/14;;C08F4/65912;;C08F4/65927;;C08F2500/12;;C08L23/14;;C08J5/18;;C08J5/18;;C08J2323/14;;C08J2423/14;;C08L23/142;;C08L2203/162;;C08L2205/025,C08L23/16;;C08J5/18;;C08L23/14,
23,US,125-046-571-729-396,2022-06-16,US 202017426129 A,2020-01-30,POLYPROPYLENE COMPOSITION,BOREALIS AG,,0,0,C08F210/06;;C08L2205/025;;C08L23/14;;C08F2/001;;C08F210/06;;C08L23/14;;C08L2201/10;;C08L2203/162;;C08L2205/025;;C08L2314/02,C08L23/14;;C08F2/00;;C08F210/06,
24,CN,001-452-452-951-67X,2016-02-24,CN 201380042509 A,2013-08-20,Polypropylene composite,BOREALIS AG,,3,9,C08L23/142;;C08K7/14;;C08L23/0869;;C08L51/06;;C08L2205/16;;C08L23/14;;C08K7/04;;C08L23/142;;C08L2205/16;;C08L23/14;;C08K7/14;;C08L23/0869;;C08L23/142;;C08L51/06;;C08L2205/16,C08L23/14,
25,EP,071-184-298-764-980,2024-03-13,EP 22194951 A,2022-09-09,POLYPROPYLENE COMPOSITION,BOREALIS AG,,7,0,C08F110/06;;C08F4/65912;;C08F4/65916;;C08L23/12;;C08L2314/06;;C08L2207/10,C08F110/06;;C08L23/12,
26,US,074-455-437-122-816,2023-07-20,US 202117997868 A,2021-05-14,POLYPROPYLENE COMPOSITION,BOREALIS AG,BOREALIS AG (2022-10-24),0,0,C08L23/14;;C08L2205/025;;C08J5/18;;C08L2314/02;;C08L2314/06;;C08L2203/162;;C08L2205/03;;C08J2323/14;;C08J2423/14;;C08L23/14;;C08L2203/162;;C08L2205/025;;C08L2205/03;;C08L2314/02;;C08L2314/06,C08L23/14,
27,MX,064-926-403-161-900,2019-07-04,MX 2019003759 A,2017-11-07,POLYPROPYLENE COMPOSITION.,BOREALIS AG,,0,0,C08K5/3435;;B32B5/16;;B32B5/30;;B32B27/06;;B32B27/08;;B32B27/18;;B32B27/20;;B32B27/32;;B32B2262/101;;B32B2264/10;;B32B2307/3065;;B32B2307/4026;;B32B2307/54;;B32B2307/71;;B32B2307/732;;B32B2439/00;;B32B2439/60;;B32B2457/00;;B32B2605/00;;C08K5/32;;C08K5/34926;;C08L2207/02;;C08L23/14;;B32B27/18;;C08K3/013;;C08K5/32;;C08K5/3435;;C08K5/34926;;C08L23/16;;C08L2203/16;;C08L2207/02,C08K5/32;;C08K5/3435;;C08K5/3492,
28,EP,111-730-184-391-244,2020-03-18,EP 18166433 A,2018-04-10,POLYPROPYLENE COMPOSITION,BOREALIS AG,BOREALIS AG (2022-03-09),12,0,C08F8/50;;C08F2810/10;;C08K5/098;;C08K5/1345;;C08K5/14;;C08K5/526;;C08F210/06;;B32B27/08;;B32B2323/10;;C08F4/6465;;C08F4/6492;;C08F8/50;;C08F210/08;;C08F210/16;;C08F2500/26;;C08F2810/10;;C08J5/18;;C08J2323/14;;C08L23/14;;C08F210/02;;C08F210/06;;C08F210/08;;C08J5/18;;C08L23/14;;C08L23/14;;C08F210/02;;C08F210/06;;C08F210/08;;C08L2201/10;;C08L2203/02;;C08L2203/162;;C08L2314/02,C08F210/06;;C08F8/50;;C08F210/02;;C08F210/08;;C08K5/098;;C08K5/134;;C08K5/14;;C08K5/526,
29,WO,148-880-319-445-331,2019-10-17,EP 2019058861 W,2019-04-09,POLYPROPYLENE COMPOSITION,BOREALIS AG,,16,0,C08F8/50;;C08F2810/10;;C08K5/098;;C08K5/1345;;C08K5/14;;C08K5/526;;C08F210/06;;B32B27/08;;B32B2323/10;;C08F4/6465;;C08F4/6492;;C08F8/50;;C08F210/08;;C08F210/16;;C08F2500/26;;C08F2810/10;;C08J5/18;;C08J2323/14;;C08L23/14;;C08F210/02;;C08F210/06;;C08F210/08;;C08J5/18;;C08L23/14;;C08L23/14;;C08F210/02;;C08F210/06;;C08F210/08;;C08L2201/10;;C08L2203/02;;C08L2203/162;;C08L2314/02,C08F210/06;;C08F210/02;;C08F210/08,
30,EP,152-226-025-043-941,2020-07-29,EP 18768885 A,2018-09-12,POLYPROPYLENE COMPOSITION,BOREALIS AG,BOREALIS AG (2022-03-09),0,0,C08L23/16;;C08L2201/10;;C08L2203/16;;C08L2203/162;;C08L2205/025;;C08F210/06;;C08L23/16;;C08F210/06;;C08F210/16;;C08F210/14;;C08F4/6492;;C08F2/001;;C08J5/18;;B32B27/32;;B29C48/0017;;B29C48/08;;C08L2201/10;;C08L2203/16;;C08L2203/162;;C08L2205/025;;C08F2500/08;;C08F2500/12;;C08F2500/26;;B32B27/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/12;;C08L23/16;;B29C39/003;;B29C49/0005;;B29K2023/14;;B29K2023/16;;C08L23/08;;C08L23/14;;C08L23/16;;C08L23/18;;C08L2201/10;;C08L2203/162;;C08L2205/025;;C08L2314/02,C08L23/12;;C08L23/16,
31,EP,172-995-688-346-38X,2022-04-27,EP 20189499 A,2020-08-05,POLYPROPYLENE SHEET,BOREALIS AG,BOREALIS AG (2022-03-09),0,0,C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08L23/142;;C08L2203/16;;C08L2205/025;;C08L23/142;;C08J5/18;;C08J2323/14;;C08L2201/10;;C08L2203/30;;C08L2314/06,C08F210/06;;C08L23/14,
32,US,128-761-551-433-290,2020-08-27,US 201816652115 A,2018-10-18,POLYPROPYLENE COMPOSITION,ABU DHABI POLYMERS CO LTD (BOROUGE) LLC;;BOREALIS AG,BOREALIS AG (2015-01-08);;BOROUGE PTE LTD ABU DHABI BRANCH (2020-06-10);;ABU DHABI POLYMERS CO. LTD (BOROUGE) LLC (2015-01-08),0,14,C08L23/12;;C08L2203/12;;C08L2203/16;;C08L2205/025;;C08L23/12;;B29C55/12;;C08L23/14;;C08L2203/12;;C08L2203/16;;C08L2205/025,C08L23/12;;B29C55/12;;C08L23/14,
33,US,048-880-640-003-841,2018-03-22,US 201615566588 A,2016-04-25,POLYPROPYLENE COMPOSITE,BOREALIS AG,BOREALIS AG (2017-10-11),2,18,C08L23/12;;C08L23/142;;C08L2205/16;;C08L23/12;;C08F10/06;;C08F2500/12;;C08F2500/15;;C08J5/046;;C08K7/02;;C08K2201/003;;C08K2201/004;;C08L23/142;;C08L23/16;;C08L29/04;;C08J5/046;;C08J2323/12;;C08J2423/26;;C08J2429/04;;C08L23/12;;C08L23/142;;C08L2205/02;;C08L2205/03;;C08L2205/16,C08J5/04;;C08L23/12,
34,CN,057-850-405-093-882,2020-06-26,CN 201880063125 A,2018-10-18,POLYPROPYLENE COMPOSITION,ABU DHABI POLYMERS CO LTD BOROUGE;;BOREALIS AG,,4,0,C08L23/12;;C08L2203/12;;C08L2203/16;;C08L2205/025;;C08L23/12;;B29C55/12;;C08L23/14;;C08L2203/12;;C08L2203/16;;C08L2205/025,C08L23/12,
35,MX,079-068-208-364-100,2017-06-13,MX 2015002055 A,2013-08-20,POLYPROPYLENE COMPOSITE.,BOREALIS AG,,0,0,C08L23/142;;C08K7/14;;C08L23/0869;;C08L51/06;;C08L2205/16;;C08L23/14;;C08K7/04;;C08L23/142;;C08L2205/16;;C08L23/14;;C08K7/14;;C08L23/0869;;C08L23/142;;C08L51/06;;C08L2205/16,C08L23/14,
36,RU,111-561-154-370-990,2014-08-20,RU 2012148590 A,2011-04-15,POLYPROPYLENE BOTTLES,BOREALIS AG,,0,2,B29C49/04;;B29K2023/12;;B29L2031/7158;;B65D1/0207;;C08L23/142;;C08L2205/025;;C08L2666/06;;Y10T428/1352;;C08L23/14;;B29C49/04;;C08J5/00;;B65D1/0207;;C08L67/00;;C08L2205/025;;C08L2666/06;;B29K2023/12;;B29L2031/7158;;Y10T428/1352;;B65D1/0207;;C08L23/142;;B29K2023/12;;B29L2031/7158;;B29C49/04;;C08L2666/06;;C08L2205/025;;C08L23/12;;C08L23/14;;C08L67/00,C08L23/14;;B29C49/04;;B65D1/02;;C08L23/12,
37,WO,117-168-978-129-590,2022-02-10,EP 2021071732 W,2021-08-04,POLYPROPYLENE SHEET,BOREALIS AG,,25,1,C08F210/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08L23/142;;C08L2203/16;;C08L2205/025;;C08L23/142;;C08J5/18;;C08J2323/14;;C08L2201/10;;C08L2203/30;;C08L2314/06,C08F210/06;;C08L23/14,
38,US,077-952-188-825-647,2018-07-24,US 201515115929 A,2015-02-06,Polypropylene composite,BOREALIS AG,BOREALIS AG (2016-07-19),264,21,C08L23/14;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K7/14;;C08L23/0846;;C08L51/06;;C08J5/043;;C08F4/65925;;C08F210/06;;C08F2500/12;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K5/09;;C08K7/14;;C08L23/14;;C08L2314/06;;C08J5/043;;C08J3/203;;C08J2323/12;;C08J2323/14;;C08J2423/14;;C08J2423/26;;C08K7/14;;C08L23/14;;C08L51/06,C08J5/04;;C08L23/14,
39,CN,025-774-571-855-675,2020-04-17,CN 201880050115 A,2018-08-14,POLYPROPYLENE COMPOSITION,BOREALIS AG,,3,0,C08L23/16;;C08F210/06;;C08L2205/02;;C08L23/16;;B32B27/32;;C08F4/6492;;C08F210/06;;C08F210/08;;C08F210/16;;C08F2500/08;;C08F2500/12;;C08F2500/26;;C08J5/18;;C08L23/0815;;C08L2203/16;;C08L2205/02;;C08L2314/02;;B65D65/40;;C08J5/18;;C08L23/12;;C08L23/14;;C08L23/16;;C08L23/16;;C08F210/06,C08L23/16,
40,EP,028-377-975-924-892,2017-10-25,EP 17173616 A,2013-04-22,POLYPROPYLENE COMPOSITIONS,BOREALIS AG,,90,0,C08L23/142;;C08L2203/18;;C08L2205/025;;C08L2308/00;;C08L2314/02,C08F2/00;;C08L23/14,
41,KR,065-046-288-710-978,2017-12-06,KR 20177031901 A,2016-04-25,POLYPROPYLENE COMPOSITE,BOREALIS AG,,4,1,C08L23/12;;C08L23/142;;C08L2205/16;;C08L23/12;;C08F10/06;;C08F2500/12;;C08F2500/15;;C08J5/046;;C08K7/02;;C08K2201/003;;C08K2201/004;;C08L23/142;;C08L23/16;;C08L29/04;;C08J5/046;;C08J2323/12;;C08J2423/26;;C08J2429/04;;C08L23/12;;C08L23/142;;C08L2205/02;;C08L2205/03;;C08L2205/16,C08L23/12;;C08F10/06;;C08J5/04;;C08K7/02;;C08L23/14;;C08L23/16;;C08L29/04,
42,UA,101-277-063-439-744,2020-04-27,UA A201711228 A,2016-04-25,POLYPROPYLENE COMPOSITE,BOREALIS AG,,0,0,C08L23/12;;C08L23/142;;C08L2205/16;;C08L23/12;;C08F10/06;;C08F2500/12;;C08F2500/15;;C08J5/046;;C08K7/02;;C08K2201/003;;C08K2201/004;;C08L23/142;;C08L23/16;;C08L29/04;;C08J5/046;;C08J2323/12;;C08J2423/26;;C08J2429/04;;C08L23/12;;C08L23/142;;C08L2205/02;;C08L2205/03;;C08L2205/16,,
43,EP,119-321-556-494-070,2018-06-20,EP 17173616 A,2013-04-22,POLYPROPYLENE COMPOSITIONS,BOREALIS AG,,1,0,C08L23/142;;C08L2203/18;;C08L2205/025;;C08L2308/00;;C08L2314/02,C08F2/00;;C08L23/14,
44,EP,133-265-529-556-671,2009-12-16,EP 08010739 A,2008-06-12,Polypropylene composition,BOREALIS AG,,33,16,C08J5/18;;C08J2323/10;;C08L23/0815;;C08L23/10;;C08L2205/02,C08L23/10;;C08J5/18,
45,EP,121-859-233-749-143,2020-11-04,EP 15165182 A,2015-04-27,POLYPROPYLENE COMPOSITE,BOREALIS AG,,4,0,C08L23/12;;C08L23/142;;C08L2205/16;;C08L23/12;;C08F10/06;;C08F2500/12;;C08F2500/15;;C08J5/046;;C08K7/02;;C08K2201/003;;C08K2201/004;;C08L23/142;;C08L23/16;;C08L29/04;;C08J5/046;;C08J2323/12;;C08J2423/26;;C08J2429/04;;C08L23/12;;C08L23/142;;C08L2205/02;;C08L2205/03;;C08L2205/16,C08L23/12;;C08L23/14,
46,RU,140-998-217-484-789,2020-10-21,RU 2020101569 A,2018-07-13,POLYPROPYLENE COMPOSITION,BOREALIS AG,,3,0,C08L23/14;;C08F4/65912;;C08L23/14;;C08F210/06;;C08F210/14;;C08F4/65912;;C08F4/65927;;C08F2500/12;;C08L23/14;;C08J5/18;;C08J5/18;;C08J2323/14;;C08J2423/14;;C08L23/142;;C08L2203/162;;C08L2205/025,C08L23/14;;C08J5/18,
47,CA,164-985-236-043-346,2015-08-20,CA 2938228 A,2015-02-06,POLYPROPYLENE COMPOSITE,BOREALIS AG,,0,0,C08L23/14;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K7/14;;C08L23/0846;;C08L51/06;;C08J5/043;;C08F4/65925;;C08F210/06;;C08F2500/12;;C08J3/203;;C08J2323/12;;C08J2423/14;;C08K5/09;;C08K7/14;;C08L23/14;;C08L2314/06;;C08J5/043;;C08J3/203;;C08J2323/12;;C08J2323/14;;C08J2423/14;;C08J2423/26;;C08K7/14;;C08L23/14;;C08L51/06,C08K7/14;;C08L23/14,
48,WO,190-656-964-788-579,2019-01-17,EP 2018069093 W,2018-07-13,POLYPROPYLENE COMPOSITION,BOREALIS AG,,30,6,C08L23/14;;C08F4/65912;;C08L23/14;;C08F210/06;;C08F210/14;;C08F4/65912;;C08F4/65927;;C08F2500/12;;C08L23/14;;C08J5/18;;C08J5/18;;C08J2323/14;;C08J2423/14;;C08L23/142;;C08L2203/162;;C08L2205/025,C08L23/14,
49,EP,180-021-497-348-432,2024-04-17,EP 22733041 A,2022-06-09,POLYPROPYLENE COMPOSITION,BOREALIS AG,,0,0,C08L23/12;;C08L2207/02;;C08L2205/02;;C08L2205/025;;C08L23/142;;C08L2314/02;;C08F2/001;;C08F210/06;;C08K5/3432;;C08L23/16;;C08L2203/16;;C08L2205/025;;C08L2314/02,C08L23/12;;C08L23/14,
