"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1,CA,116-537-003-457-353,2002-02-28,CA 2420465 A,2001-08-22,POLYPROPYLENE POLYMERS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
2,US,122-900-652-693-613,2008-01-01,US 74742503 A,2003-12-29,Polypropylene films,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENT INC (2004-03-16),10,4,B32B27/18;;B32B27/32;;C08J5/18;;C08J2323/12;;C08L23/10;;C08L2205/02;;Y10T428/31909;;Y10T428/31938;;B32B27/08;;B32B27/18;;B32B27/205;;B32B27/32;;B32B27/36;;B32B2307/518;;B32B2323/10;;B32B2439/00;;C08J5/18;;C08J2323/12;;C08L23/10;;C08L2205/02;;Y10T428/31909;;Y10T428/31938,C08F8/00;;B32B27/18;;B32B27/32;;C08J5/18;;C08L23/00;;C08L23/04;;C08L23/10,525/191;;525/240
3,EP,144-554-611-690-722,2021-08-18,EP 19872194 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,0,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/053;;B29C48/00;;B29C49/04;;C08F10/06;;C08J5/18;;C08L23/10,
4,US,123-504-416-043-522,2024-09-17,US 201917279739 A,2019-09-25,Polypropylene for films,EXXONMOBIL CHEMICAL PATENTS INC,,12,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08L23/12;;B29C48/08;;B29C48/88;;B29K23/00,
5,US,045-323-832-397-530,2007-06-26,US 34495203 A,2003-07-08,Polypropylene polymers,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2003-07-03),2,11,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F10/06;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,526/348.1;;526/351;;526/134;;526/170;;526/65;;525/53;;525/248;;525/251
6,EP,045-062-950-244-241,2003-05-28,EP 01964311 A,2001-08-22,POLYPROPYLENE POLYMERS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
7,EP,134-225-196-854-91X,2022-07-06,EP 19872194 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,3,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/00;;C08K5/1575,
8,WO,014-638-355-114-690,2002-08-01,US 0126192 W,2001-08-22,POLYPROPYLENE FILMS,EXXONMOBIL CHEM PATENTS INC;;LIN CHON-YIE;;CHEN MICHAEL C-C;;MEHTA ASPY K,,6,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
9,US,013-360-227-519-503,2022-02-24,US 201917279739 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,2,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08L23/12;;B29C48/08;;B29C48/88,
10,WO,110-327-132-176-570,2020-04-16,US 2019/0052827 W,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,5,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/053;;B29C48/00;;B29C49/04;;C08F10/06;;C08J5/18;;C08L23/10,
11,CN,176-482-442-891-486,2021-05-14,CN 201980066602 A,2019-09-25,POLYPROPYLENE FOR FILMS,EXXONMOBIL CHEMICAL PATENTS INC,,7,0,C08J5/18;;C08K5/053;;C08K5/0083;;C08K5/1575;;C08K5/521;;C08K5/092;;C08K5/101;;B29C48/0018;;B29C48/08;;B29C48/022;;B29K2023/12;;C08J2323/10;;C08L2203/16;;B29C48/08;;B29C48/911;;B29K2023/12;;C08L23/12,C08K5/053;;B29C48/00;;B29C49/04;;C08F10/06;;C08J5/18;;C08L23/10,
12,MX,112-944-394-379-016,2003-07-14,MX PA03001585 A,2001-08-22,POLYPROPYLENE FILMS.,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
13,WO,091-903-963-163-506,2002-02-28,US 0126192 W,2001-08-22,POLYPROPYLENE FILMS,EXXONMOBIL CHEM PATENTS INC;;LIN CHON YIE;;CHEN MICHAEL C C;;MEHTA ASPY K,,0,8,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
14,WO,113-352-033-769-278,2002-02-28,US 0126191 W,2001-08-22,POLYPROPYLENE POLYMERS,EXXONMOBIL CHEM PATENTS INC;;LIN CHON YIE;;CHEN MICHAEL C C;;BOSSAERT BERNARD L;;CHIEN SUSAN C,,6,28,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
15,EP,193-913-993-814-047,2003-05-21,EP 01964312 A,2001-08-22,POLYPROPYLENE FILMS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
16,US,185-132-348-687-709,2006-08-29,US 34384603 A,2003-06-09,Polypropylene films,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2001-01-24),21,3,C08F110/06;;C08F210/06;;C08L23/10;;C08L2314/06;;C08F110/06;;C08L2314/06;;C08L23/10;;C08F210/06,C08F110/06;;C08F4/52;;C08F4/643;;C08F210/06;;C08L23/10,526/134;;526/135;;526/160;;526/348;;526/348.1;;526/351
17,EP,027-223-043-916-595,2009-01-07,EP 01964312 A,2001-08-22,POLYPROPYLENE FILMS,EXXONMOBIL CHEM PATENTS INC,,6,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08J5/18;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F10/06;;C08F110/06;;C08F210/06;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
18,CA,087-219-091-712-292,2002-02-28,CA 2420052 A,2001-08-22,POLYPROPYLENE FILMS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
19,WO,077-773-884-951-694,2017-07-06,US 2016/0052148 W,2016-09-16,METHODS FOR MAKING POLYPROPYLENE AND COMPOSITIONS MADE THEREBY,EXXONMOBIL CHEMICAL PATENTS INC,,5,0,C08L23/12;;C08L23/12;;C08L2205/025,C08F10/06;;C08F2/38;;C08F4/14;;C08F4/64;;C08F4/6592,
20,US,192-635-588-081-683,2018-10-25,US 201615774753 A,2016-09-16,Methods for Making Polypropylene and Compositions Made Thereby,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2018-05-14),5,5,C08L23/12;;C08L23/12;;C08L2205/025,C08L23/12,
21,EP,001-041-486-928-885,2006-06-21,EP 04794561 A,2004-10-08,COMPOSTIONS OF POLYPROPYLENE AND POLYAMIDE,EXXONMOBIL CHEM PATENTS INC,,0,0,C08L77/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L51/06;;C08L77/02;;C08L77/06;;C08L2205/03;;C08L2205/035;;C08L2205/08;;C08L77/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L51/06;;C08L77/02;;C08L77/06;;C08L2205/03;;C08L2205/035;;C08L2205/08,C08L23/08;;C08L23/10;;C08L23/12;;C08L23/16;;C08L51/00;;C08L51/06;;C08L77/00;;C08L77/02;;C08L77/06,
22,EP,123-572-638-205-00X,2020-10-14,EP 15846035 A,2015-08-04,BIMODAL POLYPROPYLENE COMPOSITIONS,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC. (2020-06-10),9,0,C08L23/12;;C08L23/10;;C08L2203/14;;C08L2203/30;;C08L2205/025;;C08L23/12;;C08J3/005;;C08J2323/12;;C08J2423/12;;C08L23/10;;C08L2203/14;;C08L2203/30;;C08L2205/025;;C08L2205/03,C08L23/10;;C08F2/00;;C08L23/12,
23,EP,128-681-764-344-195,2010-07-21,EP 08843513 A,2008-09-05,POLYPROPYLENE SPUNBOND FIBERS,EXXONMOBIL CHEM PATENTS INC,,0,0,D01D1/065;;D01D5/0023;;D01D5/08;;D01F6/06;;D04H3/16;;D10B2321/022;;Y10T442/681;;D01D5/0023;;D01D1/065;;D01D5/08;;D01F6/06;;D04H3/16;;D10B2321/022;;Y10T442/681,D01F6/06;;D04H3/16,
24,US,140-571-874-831-514,2005-07-12,US 25968002 A,2002-09-27,Plasticized polypropylene thermoplastics,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2001-01-25),28,26,C08L23/10;;C08K5/0008;;C08L23/0815;;C08L2666/04;;C09J123/10;;C08L23/142;;C08J2300/22;;C08K5/0008;;C08L23/0815;;C08L2205/02;;C08L2666/04;;C08L23/10;;C08K5/0008;;C08L23/0815;;C08L2666/04;;C09J123/10,C08F8/00;;C08F210/02;;C08K5/00;;C08L23/08;;C08L23/10;;C09J123/10,525/191;;525/232;;525/240
25,WO,014-009-913-648-135,2016-04-07,US 2015/0043562 W,2015-08-04,BIMODAL POLYPROPYLENE COMPOSITIONS,EXXONMOBIL CHEM PATENTS INC,,9,7,C08L23/12;;C08L23/10;;C08L2203/14;;C08L2203/30;;C08L2205/025;;C08L23/12;;C08J3/005;;C08J2323/12;;C08J2423/12;;C08L23/10;;C08L2203/14;;C08L2203/30;;C08L2205/025;;C08L2205/03,C08L23/12;;B29B7/30;;C08J5/00;;C08L23/14,
26,EP,021-354-046-255-827,2012-11-07,EP 00959682 A,2000-09-01,PLASTICIZED POLYPROPYLENE THERMOPLASTICS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08L23/10;;C08K5/0008;;C08L23/0815;;C08L2666/04;;C09J123/10;;C08L23/142;;C08J2300/22;;C08K5/0008;;C08L23/0815;;C08L2205/02;;C08L2666/04;;C08L23/10;;C08K5/0008;;C08L23/0815;;C08L2666/04;;C09J123/10,C08L23/10;;C08F8/00;;C08F210/02;;C08K5/00;;C08L23/08;;C09J123/10,
27,US,079-958-589-896-518,2006-07-25,US 34497803 A,2003-07-02,Polypropylene fibers and fabrics,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2003-07-01),45,18,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;B32B27/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,428/394;;428/395;;442/189;;442/301
28,US,080-878-257-239-613,2008-10-21,US 68359303 A,2003-10-10,Branched crystalline polypropylene,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2004-02-05),94,3,C08F110/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F210/06;;Y10S526/943;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F10/00;;C08F210/06,C08F4/44;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06,526/116;;526/351;;526/160;;526/943
29,US,132-848-629-081-587,2016-02-23,US 201414511806 A,2014-10-10,Asymmetric polypropylene catalysts,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2014-12-01),37,16,C07F7/00;;C07F17/00;;C08F4/65912;;C08F4/65916;;C07F7/00;;C07F17/00;;C08F4/65912;;C08F4/65916;;C08F4/65927;;C08F110/06;;C08F210/06,C07F17/00;;C07F7/00;;C08F4/642;;C08F4/659;;C08F4/6592;;C08F110/06;;C08F210/06,
30,EP,139-631-220-296-272,2018-07-04,EP 13802903 A,2013-11-25,POLYPROPYLENE FIBERS AND FABRICS,EXXONMOBIL CHEMICAL PATENTS INC;;REIFENHAEUSER MASCH,,4,1,D04H1/435;;C08L23/10;;C08L2203/12;;D04H3/14;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696;;D01F6/06;;A61F13/53;;A61F2013/530226;;C08L23/10;;C08L2203/12;;D04H1/435;;D04H3/007;;D04H3/14;;D10B2321/022;;D10B2509/026;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696,D04H1/435;;C08L23/10;;D04H3/14,
31,WO,174-839-476-357-253,2020-11-19,US 2020/0024563 W,2020-03-25,POLYPROPYLENE-BASED COMPOSITIONS,EXXONMOBIL CHEMICAL PATENTS INC,,18,1,C08L23/12;;C08L2203/14;;C08L2205/025,C08L23/10,
32,CA,012-790-142-107-423,2002-02-28,CA 2420072 A,2001-08-22,POLYPROPYLENE FIBERS AND FABRICS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976;;C08F110/06;;C08F4/65908;;C08F4/65927;;C08F210/06;;C08J5/18;;C08J2323/12;;D01D5/0985;;D01F6/06;;H01G4/18;;Y10T428/2967;;Y10T428/2969;;Y10T428/298;;Y10T442/3065;;Y10T442/3976,B01D39/00;;C08F2/38;;C08F4/02;;C08F4/603;;C08F4/6192;;C08F4/643;;C08F4/645;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/06;;C08F210/06;;C08J5/18;;C08L23/10;;D01D5/098;;D01F6/06;;D04H3/16;;H01G4/18,
33,CN,062-949-925-579-30X,2011-03-30,CN 200480029597 A,2004-10-08,Compositions of polypropylene and polyamide,EXXONMOBIL CHEM PATENTS INC,,0,0,C08L77/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L51/06;;C08L77/02;;C08L77/06;;C08L2205/03;;C08L2205/035;;C08L2205/08;;C08L77/00;;C08L23/0815;;C08L23/10;;C08L23/12;;C08L23/16;;C08L51/06;;C08L77/02;;C08L77/06;;C08L2205/03;;C08L2205/035;;C08L2205/08,C08L23/10;;C08L23/00;;C08L23/12;;C08L51/00;;C08L51/06;;C08L77/00;;C08L77/02;;C08L77/06,
34,MX,146-021-458-890-859,2018-04-11,MX 2015007038 A,2013-11-25,POLYPROPYLENE FIBERS AND FABRICS.,EXXONMOBIL CHEMICAL PATENTS INC,,0,0,D04H1/435;;C08L23/10;;C08L2203/12;;D04H3/14;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696;;D01F6/06;;A61F13/53;;A61F2013/530226;;C08L23/10;;C08L2203/12;;D04H1/435;;D04H3/007;;D04H3/14;;D10B2321/022;;D10B2509/026;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696,D04H1/435;;C08L23/10;;D04H3/14,
35,WO,025-166-728-766-410,2014-06-12,EP 2013074655 W,2013-11-25,POLYPROPYLENE FIBERS AND FABRICS,EXXONMOBIL CHEM PATENTS INC;;REIFENHÄUSER GMBH & CO KG MASCHINENFABRIK,,6,3,D04H1/435;;C08L23/10;;C08L2203/12;;D04H3/14;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696;;D01F6/06;;A61F13/53;;A61F2013/530226;;C08L23/10;;C08L2203/12;;D04H1/435;;D04H3/007;;D04H3/14;;D10B2321/022;;D10B2509/026;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696,D04H1/435;;C08L23/10;;D04H3/14,
36,US,059-436-640-479-020,2014-06-05,US 201213691984 A,2012-12-03,POLYPROPYLENE FIBERS AND FABRICS,EXXONMOBIL CHEM PATENTS INC;;REIFENHAUSER GMBH & CO KG MASCHINENFABRIK,EXXONMOBIL CHEMICAL PATENTS INC (2013-01-24);;REIFENHAUSER GMBH & CO. KG MASCHINENFABRIK (2013-01-26),4,18,D04H1/435;;C08L23/10;;C08L2203/12;;D04H3/14;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696;;D01F6/06;;A61F13/53;;A61F2013/530226;;C08L23/10;;C08L2203/12;;D04H1/435;;D04H3/007;;D04H3/14;;D10B2321/022;;D10B2509/026;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696,D01F6/06;;A61F13/53,604/372;;442/414;;442/392;;442/401;;442/400;;442/382;;428/359;;442/327;;428/219;;442/334;;428/401;;526/351
37,KR,060-218-728-094-192,2015-09-09,KR 20157017899 A,2013-11-25,POLYPROPYLENE FIBERS AND FABRICS,EXXONMOBIL CHEM PATENTS INC;;REIFENHAEUSER MASCH,,4,3,D04H1/435;;C08L23/10;;C08L2203/12;;D04H3/14;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696;;D01F6/06;;A61F13/53;;A61F2013/530226;;C08L23/10;;C08L2203/12;;D04H1/435;;D04H3/007;;D04H3/14;;D10B2321/022;;D10B2509/026;;Y10T428/2904;;Y10T428/298;;Y10T442/60;;Y10T442/608;;Y10T442/66;;Y10T442/671;;Y10T442/68;;Y10T442/681;;Y10T442/696,D04H1/435;;A61F13/53;;C08L23/10;;D01F6/06;;D04H3/14,
38,EP,054-114-303-384-73X,2001-07-18,EP 99943689 A,1999-08-16,BRANCHED POLYPROPYLENE COMPOSITIONS,EXXONMOBIL CHEM PATENTS INC,,0,0,C08F110/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/06;;C08L23/12;;C08L2205/02;;C08L2314/06;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F4/65927;;C08L23/12;;C08F110/06;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F10/06;;C08L23/12;;C08L2205/02;;C08L2314/06,C08L23/00;;C08F2/06;;C08F4/645;;C08F4/659;;C08F10/06;;C08F110/06;;C08L23/10;;C08L23/12,
