"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
2122,US,100-751-871-705-915,2013-10-22,US 97211010 A,2010-12-17,Processes and apparatus for polymer finishing and packaging,YEH RICHARD CHENG-MING;;ESWARAN VETKAV RAJAGOPALAN;;HENTSCH EDGAR PETER;;BROUSSARD III OSCAR KEARNEY;;EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2011-02-03),32,4,B01J19/002;;B01J2208/00637;;B01J2219/00006;;B01J2219/00033;;B01J2219/00247;;C08F6/003;;C08F10/02;;C08F210/16;;F28D7/06;;F28G13/00;;B01J19/002;;B01J2208/00637;;B01J2219/00006;;B01J2219/00033;;B01J2219/00247;;C08F6/003;;C08F10/02;;C08F210/16;;F28D7/06;;F28G13/00,B01J19/00;;C08F6/00,422/131;;526/72
2123,WO,001-670-070-664-291,2014-02-06,US 2013/0046569 W,2013-06-19,NON-SYMMETRIC CATALYSTS COMPRISING SALAN LIGANDS,EXXONMOBIL CHEM PATENTS INC;;UNIV RAMOT,,1,4,C08F210/16;;C08F4/76;;C08F4/52;;C08F210/16,C08F4/76;;C08F4/52,
2124,US,168-786-569-247-682,2024-03-14,US 202017766815 A,2020-10-21,FLUIDIZED BED REACTOR SYSTEMS,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2020-02-25),0,0,B01J8/24;;B01J8/1854;;B01J8/0015;;B01J8/003;;B01J8/004;;B01J8/1827;;B01J2208/00761;;B01J8/003;;B01J8/004;;B01J8/0015;;B01J8/1827;;B01J8/24;;B01J8/1854;;B01J2208/00761;;B01J8/003;;B01J8/004;;B01J8/1854;;B01J8/24;;B01J2208/00761,B01J8/24;;B01J8/00;;B01J8/18,
2125,WO,120-367-402-813-170,2003-09-12,US 0304153 W,2003-02-10,"MOLECULAR SIEVE COMPOSITIONS, CATALYST THEREOF, THEIR MAKING AND USE IN CONVERSION PROCESSES",EXXONMOBIL CHEM PATENTS INC,,2,0,B01J21/10;;B01J23/02;;B01J23/10;;B01J29/85;;B01J37/0009;;B01J2229/42;;C07C1/20;;C07C2521/06;;C07C2521/10;;C07C2523/08;;C07C2529/00;;C07C2529/83;;C07C2529/85;;C10G11/05;;C10G35/095;;C10G45/54;;C10G45/64;;C10G47/20;;C10G49/08;;C10G50/00;;C10G50/02;;C10G3/44;;C10G3/49;;C10G2400/20;;Y02P30/20;;Y02P30/40;;B01J35/19;;B01J35/60;;B01J29/85;;B01J37/08;;B01J23/83;;B01J35/60,B01J21/10;;B01J23/02;;B01J23/10;;B01J29/85;;B01J35/00;;B01J35/10;;B01J37/00;;B01J37/03;;B01J37/04;;B01J37/08;;C07B61/00;;C07C1/20;;C07C2/84;;C07C11/04;;C07C11/06;;C10G3/00;;C10G11/05;;C10G35/095;;C10G45/54;;C10G45/64;;C10G47/20;;C10G49/08;;C10G50/00;;C10G50/02,
2126,EP,082-071-750-495-691,2008-03-19,EP 94202617 A,1990-12-27,Supported ionic metallocene catalysts for olefin polymerization,EXXONMOBIL CHEM PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC. (2001-08-01),3,0,C08F10/00;;C08F4/61908;;C08F4/61916;;C08F4/61922;;C08F4/65908;;C08F4/65916;;C08F4/65922;;C08F110/02;;C08F110/06,C08F4/76;;C08F4/42;;C08F4/603;;C08F4/619;;C08F4/6192;;C08F4/659;;C08F4/6592;;C08F10/00;;C08F110/02;;C08F110/06,
2127,US,001-845-147-622-72X,2017-03-30,US 201615238448 A,2016-08-16,HYDROGENATION OF ANNULATED CYCLOPENTADIENYL METAL COMPLEXES AND METALLOCENE CATALYSTS COMPRISING SUCH,EXXONMOBIL CHEMICAL PATENTS INC,UNIVATION TECHNOLOGIES LLC (2024-09-20);;EXXONMOBIL CHEMICAL PATENTS INC (2016-08-18),0,0,C08F110/02;;C07F17/00;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F110/02;;C07F17/00;;C08F4/65908;;C08F4/65912;;C08F4/65916;;C08F4/6592;;C08F4/65927,C08F110/02;;C07F17/00,
2128,US,110-612-177-573-513,2023-01-10,US 201414787201 A,2014-06-12,Fibers and nonwoven materials prepared therefrom,EXXONMOBIL CHEMICAL PATENTS INC;;EXXONMOBIL CHEMICALS PATENTS INC,EXXONMOBIL CHEMICAL PATENTS INC (2016-01-19),42,0,D01F6/46;;B32B5/022;;B32B2262/0253;;B32B2307/51;;B32B2307/718;;C08L23/12;;C08L2203/12;;C08L2205/03;;C08L2207/02;;D01F6/30;;D04H1/4291;;D04H3/007;;D01F6/46;;B32B5/022;;B32B2262/0253;;B32B2307/51;;B32B2307/718;;C08L23/12;;C08L2203/12;;C08L2205/03;;C08L2207/02;;D01F6/30;;D04H1/4291;;D04H3/007,D01F6/46;;B32B5/02;;C08L23/12;;D01F6/30;;D04H1/4291;;D04H3/007,
2129,WO,093-466-290-402-794,2015-03-05,US 2014/0049552 W,2014-08-04,RACEMO SELECTIVE METALLATION PROCESS,EXXONMOBIL CHEM PATENTS INC,,7,3,C07F17/00;;C08F4/65912;;C08F4/65916;;C08F110/06,C07F7/00;;C07B55/00;;C07F7/02;;C07F17/00,
2130,US,021-761-038-618-796,2018-01-04,US 201715632700 A,2017-06-26,Multilayer Films and Methods of Making the Same,EXXONMOBIL CHEMICAL PATENTS INC,EXXONMOBIL CHEMICAL COMPANY (2017-07-03),4,8,B32B5/022;;B32B7/04;;B32B7/12;;B32B27/08;;B32B15/082;;B32B15/085;;B32B27/10;;B32B25/08;;B32B21/08;;B32B27/12;;B32B27/06;;B32B15/06;;B32B25/10;;B32B25/06;;B32B21/045;;B32B25/04;;B32B2250/03;;B32B2250/05;;B32B15/20;;B32B25/16;;B32B25/18;;B32B27/32;;B32B27/306;;B32B27/325;;B32B27/24;;B32B27/36;;B32B27/34;;B32B27/304;;B32B27/302;;B32B2262/0253;;B32B2270/00;;B32B2274/00;;B32B2307/732;;B32B2307/72;;B32B2307/704;;B32B2307/558;;B32B2307/5825;;B32B2410/00;;B32B2437/02;;B32B2439/06;;B32B2439/00;;B32B2556/00;;B32B2439/70;;B32B2553/00;;B32B2555/02;;B32B2553/023;;B29C49/0042;;B29K2023/06;;B29C49/04;;B32B37/15;;B29K2023/083;;B32B27/08;;B32B27/32;;B32B27/306;;B32B37/15;;B29C65/70;;B32B2307/5825;;B32B2307/558;;B29K2023/083;;B32B25/04;;B32B27/325;;B32B27/302;;B32B15/082;;B32B2553/023;;B32B2274/00;;B32B25/08;;B32B2307/72;;B32B25/16;;B32B21/08;;B32B2250/03;;B32B2556/00;;B32B27/304;;B32B27/06;;B32B27/12;;B32B25/06;;B32B27/36;;B32B2250/05;;B32B2437/02;;B32B7/12;;B32B5/022;;B32B2439/00;;B32B2410/00;;B32B27/10;;B32B2439/70;;B32B2439/06;;B32B21/045;;B32B25/10;;B32B2553/00;;B32B2270/00;;B32B15/085;;B32B27/24;;B32B25/18;;B32B27/34;;B32B2555/02;;B32B7/04;;B32B2307/704;;B32B15/06;;B32B15/20;;B32B2307/732;;B32B2262/0253;;B29C49/0042;;B29C49/04;;B29C49/0411,B32B27/08;;B29C65/70;;B29K23/00;;B32B7/02;;B32B27/30;;B32B27/32;;B32B37/15,
2131,WO,057-845-754-084-910,2011-07-21,US 2010/0061106 W,2010-12-17,PROCESSES AND APPARATUS FOR POLYMER FINISHING AND PACKAGING,EXXONMOBIL CHEM PATENTS INC;;YEH RICHARD C;;ESWARAN VETKAV R;;HENTSCH EDGAR P;;BROUSSARD OSCAR K III,,30,31,B29B9/16;;B01D21/02;;B29B9/065;;B29B13/065;;B29B13/10;;B29B2009/163;;B29C48/276;;F26B1/005;;F26B3/0926;;F26B5/08;;F26B17/10;;F26B21/10;;F26B23/002;;F26B2200/08;;Y02P70/10,B29B9/16;;B01D21/00;;B29B9/06;;B29B13/06;;B29B13/10,
