"#",Jurisdiction,Lens ID,Publication Date,Application Number,Application Date,Title,Applicants,Owners,Cites Patent Count,Cited by Patent Count,CPC Classifications,IPCR Classifications,US Classifications
1144,WO,087-954-904-485-447,2022-10-13,EP 2022059383 W,2022-04-08,POLYOLEFIN MIMIC POLYESTER COPOLYMERS,SABIC GLOBAL TECHNOLOGIES BV,,2,0,C08G63/16;;C08G63/6956;;C08G63/672;;C08G65/3322;;C08G65/3311;;C08G63/78;;C08J11/14;;C08J11/24;;C08J2367/02;;C08G77/442;;C08G63/16;;C08G63/672;;C08G63/6956;;C08G63/78;;C08G65/3311;;C08G65/3322;;C08G77/442;;C08J11/14;;C08J11/24;;C08J2367/02;;C08G63/16;;C08G63/672;;C08G63/6956;;C08G65/3311;;C08J11/14;;C08J11/24;;C08J2367/02,C08G63/16;;C08F14/00;;C08G63/672;;C08G63/695;;C08G63/78;;C08G65/331;;C08G65/332;;C08G77/445;;C08J11/14;;C08J11/24,
1145,WO,099-308-247-227-585,2015-06-25,EP 2014078794 W,2014-12-19,CATALYST SYSTEM FOR POLYMERIZATION OF AN OLEFIN,SAUDI BASIC IND CORP;;SABIC GLOBAL TECHNOLOGIES BV;;ZUIDEVELD MARTIN ALEXANDER;;BATINAS-GEURTS AURORA ALEXANDRA;;BUKATOV GENNADII DIMITRIEVICH;;SERGEEV SERGEI ANDREEVICH;;ZAKHAROV VLADIMIR ALEKSANDROVICH,,4,2,C08F110/06;;C08F4/651;;C08F4/6565;;C08F110/06;;C08F2500/04;;C08F2500/15;;C08F110/06,C08F110/06;;C08F4/651;;C08F4/655;;C08F4/656,
1146,EP,017-443-839-350-023,2015-03-11,EP 10787972 A,2010-11-30,NOVEL ALUMINOSILICATE BASED BLUE PERSISTENT PHOSPHORS,SABIC INNOVATIVE PLASTICS IP,"SABIC GLOBAL TECHNOLOGIES B.V., NL (2016-03-11);;SHPP GLOBAL TECHNOLOGIES B.V., NL (2021-04-30);;SABIC INNOVATIVE PLASTICS IP B.V., NL (2016-02-24)",1,0,C09K11/7797;;C09K11/0883;;C09K11/77928;;C09K11/7797;;C09K11/0883;;C09K11/77928,C09K11/64,
1147,US,048-739-562-802-732,2024-05-30,US 202218284382 A,2022-03-31,POLYOLEFIN COMPOSITION HAVING IMPROVED ANTIBACTERIAL AND ANTIVIRAL PROPERTIES,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2022-04-03),0,0,A01N37/02;;A01N59/16;;A01N33/08;;C08K3/22;;C08K5/103;;C08K5/17;;C08K5/0058;;C08K5/0091;;A01N33/08;;A01N37/02;;A01N59/16;;C08K3/22;;C08K5/0091;;C08K5/103;;C08K5/17;;C08K2201/005,C08K5/00;;A01N33/08;;A01N37/02;;A01N59/16;;C08K3/22;;C08K5/103;;C08K5/17,
1148,EP,093-002-199-457-633,2022-06-01,EP 20182574 A,2014-10-07,"CLOSED SECTION GEOMETRY, HOLLOW SHAPE, VEHICLE COMPONENTS",SABIC GLOBAL TECHNOLOGIES BV,,2,0,B60J5/107;;B62D25/085;;B62D29/043;;B62D33/06;;B60J5/107;;B62D25/085;;B62D29/043;;B62D33/06;;B60J5/107;;B60J5/10;;B62D25/085;;B62D27/023;;B62D29/043;;B62D33/06,B60J5/10;;B62D25/10;;B62D29/04,
1149,US,104-067-211-789-687,2022-12-01,US 202017771688 A,2020-12-17,POLYESTER COMPOSITION,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2021-02-18),1,0,C08L67/02;;C08F222/06;;C08G63/183;;C08G2230/00;;C08L23/0815;;C08L51/06;;C08L2205/03;;C08L2205/08;;C08L2207/062;;C08L2207/066;;C08L2207/20,C08G63/183;;C08F222/06;;C08L23/08;;C08L51/06,
1150,WO,197-457-435-341-58X,2019-06-06,EP 2018082677 W,2018-11-27,STACKED PHOTOVOLTAIC MODULE ASSEMBLY,SABIC GLOBAL TECHNOLOGIES BV,,4,0,H02S40/42;;Y02E10/50;;Y02B10/10;;H10F19/807;;H10F19/85;;H10F19/00;;H10F19/804;;H10F19/80,H01L31/042;;H01L31/048;;H01L31/049;;H02S40/42,
1151,US,037-918-168-082-268,2017-01-19,US 201515301248 A,2015-04-03,POLYCARBONATE FIBERS AND SUBSTRATES COMPRISING SAME,SABIC GLOBAL TECHNOLOGIES BV,SABIC GLOBAL TECHNOLOGIES B.V (2016-10-12),0,3,C08G64/14;;D01D5/04;;D01D5/18;;D01D10/00;;D01F6/64;;D21H13/20;;C08G64/14;;C08J3/24;;C08J3/28;;C08J2369/00;;C08L69/00;;C08L2201/02;;C08L2201/08;;C08L2203/12;;C08L2205/16;;C08L2312/06;;C09D169/00;;D01D5/04;;D01D5/06;;D01D5/18;;D01D10/00;;D01F6/64;;D10B2505/02;;D10B2505/04;;D21H13/20,C08G64/14;;C08J3/24;;C08J3/28;;C08L69/00;;C09D169/00;;D01D5/06;;D01F6/64;;D21H13/20,
1152,WO,031-036-292-127-82X,2016-11-24,US 2016/0031576 W,2016-05-10,IMPROVED DIELECTRIC STRENGTH COMPOSITIONS,SABIC GLOBAL TECHNOLOGIES BV;;SHETH KAPIL CHANDRAKANT,,1,0,C08L79/08;;B33Y70/00;;B33Y70/10;;C08L2207/062;;C08L2207/068;;C08L79/08;;B33Y70/00;;B33Y70/10;;C08K3/04;;C08L23/06;;C08L79/08;;B29C33/62;;B33Y70/00;;B33Y70/10;;C08L23/06;;C08L2203/20;;C08L79/08;;B29C45/0001;;B29K2079/085;;B29K2507/04;;B29K2995/0006;;B33Y70/00;;B33Y70/10;;C08K3/04;;C08L23/06;;C08L2207/062,C08L79/08,
1153,US,085-575-978-672-170,2025-01-09,US 202218707331 A,2022-09-15,METHOD FOR STABILISATION OF POLYMER MATERIALS,SABIC GLOBAL TECHNOLOGIES BV,,0,0,C08K5/098;;C08K5/005;;C08K5/526;;C08K5/1345;;C08L23/0815;;C08J3/201;;C08J2323/06;;C08J2423/12;;C08K5/098;;C08K5/526;;C08K2201/014;;C08L23/06;;C08L2201/08;;C08L2205/025;;C08L2207/062;;C08L2207/20,C08K5/526;;C08J3/20;;C08K5/098;;C08L23/06,
